[Shortcuts],Name,Shortcut,"Yes=0,Maybe=1",Notes,,
BrushesAndStuff=none,BrushesAndStuff,none,1,unknown,,[Shortcuts]
EditLayerMetaData=Ctrl+Alt+Shift+N,EditLayerMetaData,Ctrl+Alt+Shift+N,2,this is interesting and mybe good for templates and tracking notes,,
InteractionTool=none,InteractionTool,none,1,,,
KarbonCalligraphyTool=none,KarbonCalligraphyTool,none,1,,,
KisAssistantTool=W,KisAssistantTool,W,2,,,
KisToolCrop=C,KisToolCrop,C,,,,
KisToolEncloseAndFill=none,KisToolEncloseAndFill,none,,,,
KisToolPath=none,KisToolPath,none,,,,
KisToolPencil=none,KisToolPencil,none,,,,
KisToolPolygon=none,KisToolPolygon,none,,,,
KisToolPolyline=none,KisToolPolyline,none,,,,
KisToolSelectContiguous=none,KisToolSelectContiguous,none,,,,
KisToolSelectElliptical=J,KisToolSelectElliptical,J,,,,
KisToolSelectMagnetic=none,KisToolSelectMagnetic,none,,,,
KisToolSelectOutline=none,KisToolSelectOutline,none,,,,
KisToolSelectPath=none,KisToolSelectPath,none,,,,
KisToolSelectPolygonal=none,KisToolSelectPolygonal,none,,,,
KisToolSelectRectangular=Ctrl+R,KisToolSelectRectangular,Ctrl+R,,,,
KisToolSelectSimilar=none,KisToolSelectSimilar,none,,,,
KisToolTransform=Ctrl+T,KisToolTransform,Ctrl+T,,,,
KritaFill/KisToolFill=F,KritaFill/KisToolFill,F,,,,
KritaFill/KisToolGradient=G,KritaFill/KisToolGradient,G,,,,
KritaSelected/KisToolColorSampler=P,KritaSelected/KisToolColorSampler,P,,,,
KritaShape/KisToolBrush=Q,KritaShape/KisToolBrush,Q,2,,,
KritaShape/KisToolDyna=none,KritaShape/KisToolDyna,none,,,,
KritaShape/KisToolEllipse=Shift+J,KritaShape/KisToolEllipse,Shift+J,,,,
KritaShape/KisToolLazyBrush=Y,KritaShape/KisToolLazyBrush,Y,,,,
KritaShape/KisToolLine=none,KritaShape/KisToolLine,none,,,,
KritaShape/KisToolMeasure=none,KritaShape/KisToolMeasure,none,,,,
KritaShape/KisToolMultiBrush=none,KritaShape/KisToolMultiBrush,none,,,,
KritaShape/KisToolRectangle=Shift+R,KritaShape/KisToolRectangle,Shift+R,,,,
KritaShape/KisToolSmartPatch=none,KritaShape/KisToolSmartPatch,none,,,,
